Liked Songs	Artists	ID	ExCol
victim of nostalgia	mxmtoon	victim of nostalgia	6oHXQQLzea4keyHSbFUxtS
Serotonin	girl in red	if i could make it go quiet	16MneRxNQpHK250NaIo3bg
If I Didn't Have You	BANNERS	It's Gonna Be OK	5I93gU5qCo6n0rXlvOagLY
Own It	Drake	Nothing Was The Same	7pjJBo6DULg6YK66PA8v7r
Same Time	The Script	Sunsets & Full Moons	6QZN4gD7ezuPKX2TNOw28u
Everything Has Changed	Alex G, Jon D	Everything Has Changed	0Bduf6YPHNal35LcChaDcY
Requiem On Frankfort Ave	Eluvium	Copia	5OITAJsX6jtAXqmyXhJnkB
My People Free	Royce Da 5'9", Ashley Sorrell	The Allegory	7oZB97C4NAAi6FRRzBSPOQ
2Shy	Shura	2Shy	0HpFGm9dLuzFL1ePXJsQpE
2000 Miles	BANNERS	Happy Xmas (War is Over) / 2000 Miles	2WpOuR9DwJ6f8lgcMGhJpH
the last great american dynasty	Taylor Swift	folklore	2Eeur20xVqfUoM3Q7EFPFt
Born Again	Kodaline	Politics of Living	1eWncCSl6jiTO88bEUgCZ1
24 48	sammy rash	24 48	74PIF3XMo1MpPutKxQYPGy
Sprained Ankle	Julien Baker	Sprained Ankle	5mHTg6cqhyP0BmsTQKzN1X
Potential Breakup Song	Aly & AJ	Potential Breakup Song	2ieu0FHqTpBUrMoCFVL3cb
Now That I've Found You (feat. John & Michel)	Martin Garrix, John & Michel	Now That I've Found You (feat. John & Michel)	7wZorJD5loL9ceLJ67sg6S
new skin	VÉRITÉ	new skin	7cMt0t1LWZGPOxOP4Q86dC
Inside (feat. Cynthia Erivo)	Logic, Cynthia Erivo	Bobby Tarantino III	4FC0MkDV5elZUcHDXZm1nj
killing boys	Halsey	Manic	1H3Okhf16ttAICZF7zgDko
honey	Halsey	If I Can’t Have Love, I Want Power	33PetU3anyqfeTWhSxvZb6
Thou Shall	Royce Da 5'9", Kid Vishis	The Allegory	6ebhGHzrMG0wBMqF6uZTtQ
think of me - acoustic	VÉRITÉ	think of me (acoustic)	02GK1EBeOcITNxbxFADT1j
