Queued Songs	Artists	ID	ExCol
Make Some Room	The Suffers	Make Some Room - EP	spotify:track:2nkhGTXnKCe1ZtttBZaeyx
Gonna Get Mine	Halestorm	Into the Wild Life (Deluxe)	spotify:track:306aiQCuuIoB2GMu6BRx1v
Gosh	Jamie xx	In Colour - Preview White Label	spotify:track:1aIc2KD4xOfz2qwCXQucpv
Every Chance I Get	Reptar	Lurid Glow	spotify:track:34LvsptmCl7NIo7Sig4F8S
Pools to Bathe In	The Japanese House	Pools to Bathe In	spotify:track:0htDjSEYlJaTwh4JC2NyqI
Shot in the Dark	Mundy	Shot in the Dark	spotify:track:1dtilW3s5iTl8AqwO1zMJJ
Hey Love	Hayden	Hey Love	spotify:track:3kucEmg332g7snQSRsL7Rj
How Can I	Laura Marling	Short Movie	spotify:track:32w6xp7xrLG75jNtCGrk05
Castle of Pretending	Will Dailey	National Throat (Deluxe)	spotify:track:4EOCD87alc9n8gFxUGiRrZ
Ride (feat. M. Maggie)	Black Coast, M. Maggie	Ride (feat. M. Maggie)	spotify:track:5Y6k6XgGKbQ7WzTxUu5aDq
What's Real	WATERS	What's Real - Single	spotify:track:1MUnXmO54AmbeqOOdKHzFP
Now	Joywave	How Do You Feel Now?	spotify:track:51WntcxFgZMpuTmMFrBKls
The Fool	Ryn Weaver	The Fool	spotify:track:2qbAXBJrgMnGDUiKnc2s46
Save Yourself	Greg Holden	Chase The Sun	spotify:track:1c4UtdLUnKsguzqmMopRM6
Pure Wasted	Rebecca Clements	Pure Wasted	spotify:track:76WacSlb2VzAHD7JHzI0oe
Go Slow	Tei Shi	Verde	spotify:track:1j3uIrLXLDOP22tfatPGzr
Stop Playing With My Heart	Avid Dancer	1st Bath	spotify:track:4KwfSXfrz3jlI4NCFWrzbn
You And I	honeyhoney	You And I	spotify:track:5qoD9i5DqtUWKaxyW29Yt7
Sister	The Japanese House	Pools to Bathe In	spotify:track:2BKhVfXGOAi9safaThxnEA
For The Town	SonReal	For The Town	spotify:track:0NnbprzzM1mzvLXwCcZFE8
Minimal Affection	The Vaccines	Minimal Affection	spotify:track:61CXaSrq5idm1m6Hym928H
For Granted	Odessa	Odessa	spotify:track:5LcvxuHikYoyxNrr5rUznC
Magnolia	Gang of Youths	The Positions	spotify:track:1G34Fz9A4HIpdniHzxEc1d
My Wrecking Ball - Live At Carnegie Hall / 11/17/2014	Ryan Adams	Live At Carnegie Hall	spotify:track:5A2R9DYJg7mAIIG92b7eJl
Introduction	Wakey!Wakey!	Overreactivist	spotify:track:3XJ7V7msfAxBfVJW1R1f8S
Group Therapy [Messages Pt. 5] [ABGT215]	Above & Beyond	Group Therapy 215	spotify:track:3BzQ0ueK5DbRdPXkGw9xZ6
alright	Garrett Nash	if	spotify:track:00VEOuQe8033FNsq4dA9NX
夜明けのジュリアの谷の噴水	Ichiko Aoba	qp	spotify:track:3Po5opLPWQtcUMYYqFkYj6
MI Amore	FRENSHIP	MI Amore	spotify:track:5ebeYtBlW17U9M22cWfd4G
Pieces	Tanlines	Pieces	spotify:track:6jszbeKW6qsGch8uW3Ft7O
Fire In The Belly	Van Morrison, Steve Winwood	Fire In The Belly	spotify:track:47BPYC92ZQGkC6LsMyIrDT
The Rhythm	MNEK	Small Talk - EP	spotify:track:4laPvATil8SrIAlysZazYN
Hard Came the Rain	Rag'n'Bone Man	Disfigured - EP	spotify:track:5YDUDi2SsfYIUBZjjYIL6f
Wonder Woman	LION BABE	Wonder Woman	spotify:track:3xPKDnxAoq7QGBbxWrwWZZ
On & On	Charlotte OC	Burning	spotify:track:1V4bKdctgaBH88m8bFyUNi
Perfect Holiday (feat. Twin Shadow)	Big Data, Twin Shadow	2.0	spotify:track:4CGJXSpLYHYLJGWm2m4eGD
Sharks In The Swimming Pool	Clairity	Sharks In The Swimming Pool	spotify:track:2z2R1NMhaJm3iCuFIwSQpe
Impression	Matt Woods	Impression	spotify:track:6dpOUiMcBUucyPcVckdpP6
Alcohol (Acoustic Version)	Shannon LaBrie	Alcohol (Acoustic Version)	spotify:track:3LLB6Ei0V9XTxMK7wpApNE
Some Days I'm Golden All Night	Josh Rouse	The Embers Of Time	spotify:track:7xqqeu1LJ2fAo95qCBCYcu
The Great Bear	Great Lake Swimmers	A Forest of Arms	spotify:track:2eVKf3r79c6upA65Qf2nrl
Painted	MS MR	Painted	spotify:track:6qCnhtN18I35RXFHWVJXmA
Can You Blame Me	Matt and Kim	New Glow	spotify:track:0oIXVYGXjlKIxu0ns0C0A0
Collarbones	Thomston	Backbone EP	spotify:track:2ZDiw0PRbTVRIiU7Exrarp
I Just Wanna...	Elijah Blake	I Just Wanna..	spotify:track:3EotbdwYAgeqkkFkEivtVU
I'm To Blame	Kip Moore	I'm To Blame	spotify:track:1Oe4iHSl5mLQ0YHnzQ4eRA
Cover the Water	Sachal Vasandani	Slow Motion Miracles	spotify:track:28Er9qWxn80dDVsmETrXjl
She Don't Love You	Eric Paslay	Eric Paslay	spotify:track:1B17jo7XD3lJ9AtrdE9kUd
Lay Low	Josh Turner	Lay Low	spotify:track:3AYUY4avB7L8dZtNNmzZi8
Smoke	A Thousand Horses	Smoke	spotify:track:3hdIglZzRAvK3sTXNoj1h1
Saint Claude	Christine and the Queens	Saint Claude	spotify:track:5O0WCP8gKXsXOepd4RICFc
New Rush	Gin Wigmore	New Rush	spotify:track:1qFi8W5Z0i7HZ2JgyQXXWw
Running With The Wolves	AURORA	Running With The Wolves	spotify:track:3rxxfGNYZhnSb1p06PsPeq
Upside	Allen Stone	Radius (Deluxe Edition)	spotify:track:5CgFOxsAX8qwj6lR8j9Ard
Alleyway	Life in Film	Alleyway	spotify:track:1n6xVSNX3bLJnMFaoOZlWP
High	Sivik	High	spotify:track:2diG4h1sYNUIsFuOrdI9Dz
Satisfy Me - Live from Fame	Anderson East	The Muscle Shoals Sessions - Live from Fame	spotify:track:7FNPsfHrEMoIFfE76DUZTv
All My Friends	Dylan Kelly	All My Friends	spotify:track:6xtjkYzU5eBThLBHAmIRWX
Weekends	Urban Cone	Weekends	spotify:track:0VbK0eychDtWmyRbrxBKb2
Almeria	Everydayz, Phazz	Almeria	spotify:track:0L0k6ebsUYiGMA30Pye9uX
