Maybe Songs	Artists	ID	ExCol
Thuggin' (Remix)	Glasses Malone, Kendrick Lamar, Killer Mike	Thuggin' (feat. Kendrick Lamar & Killer Mike) [Remix] - Single	spotify:track:3BktMqrVNx94aH81FSuBtj
Charlie Gray	Valise	Young Bloomer	spotify:track:3dt9I0NILBM6lBf7CVSRj5
How Far We Go (Uptown 81)	Smoke DZA, Kendrick Lamar	The Hustler's Catalog	spotify:track:7vElE9FRjxN3LMmP3VnFUv
Murder Murder	Eminem	Next Friday (Original Motion Picture Soundtrack)	spotify:track:575BKqgHeL2srecj3MfGX1
Shine - Kygo Remix	Benjamin Francis Leftwich, Kygo	Shine (Kygo Remix)	spotify:track:23ASQTIUauPtPMbKSG77w4
Outro (Obie Trice/ Cheers)	Obie Trice, D12, Eminem	Cheers	spotify:track:1ygjXzCzApOeNr396plHmT
I'm Ready	Twin Shadow	I'm Ready	spotify:track:4rbyW15Zdu3MWXxIgtFhWi
WHateva U Want	ScHoolboy Q, Candice Pillay	Blank Face LP	spotify:track:44ZWfYPt3AQJAfg4Ned0ue
The Ghost of Tom Joad/Do-Re-Mi	Elvis Costello, Mumford & Sons	ONE Presents agit8, Vol. 5	spotify:track:01o5ZKZ1aVnsoF2mH53jGZ
If I Get Locked Up (Funkmaster Flex & Big Kap Feat. Eminem and Dr. Dre)	Funk Flex, Big Kap, Eminem, Dr. Dre	The Tunnel	spotify:track:2nd0a9U9ICncohQPtjtVey
Neva CHange	ScHoolboy Q, SZA	Blank Face LP	spotify:track:6tPDalwocS7zgeFpYi3xtr
Dead on Arrival	Fall Out Boy	Take This to Your Grave	spotify:track:7naGWci9bflvfdzxphFjAw
Saturday	Fall Out Boy	Take This to Your Grave	spotify:track:423FiDerFgzeEcqKEOmZ81
Days/This Time Tomorrow	Ray Davies, Mumford & Sons	See My Friends	spotify:track:7A4epmATCvjPxEmHUz7tDo
Fare Thee Well (Dink's Song)	Oscar Isaac, Marcus Mumford	Inside Llewyn Davis: Original Soundtrack Recording	spotify:track:0YOOXnCJihgyluizqhAcrz
Tonight (feat. Joshua Radin)	My Name Is You, Joshua Radin	The Fortunate Ones	spotify:track:3YVg8sSbw6AW7m6JqK88vL
Sending Postcards From a Plane Crash (Wish You Were Here)	Fall Out Boy	Take This to Your Grave	spotify:track:6myPy86FHUBJsFi7RAWp5Y
Keeper (feat. Chuck Inglish & Buddy)	Bee's Knees, Chuck Inglish, Buddy	Variety Pack	spotify:track:0Mwo7ZVbgFLPQuvvStgs5d
Natale's Song	Sia	Colour The Small One (Deluxe Edition)	spotify:track:58s9gbIrUaICaRMwdlFJCT
The Making Of	The Bohicas	The Making Of	spotify:track:2JYA59psBG6awCO55cKt4A
Lucky	Sia	Colour The Small One (Deluxe Edition)	spotify:track:62VRMe5wpeeGgVfbgkpxpZ
Sound of Change	Dirty Heads	Sound of Change	spotify:track:6bRwbcyOCvkDIvE8R2UMsy
So Bored	Sia	Colour The Small One (Deluxe Edition)	spotify:track:14qXiDDx2O55oH06iH9j3W
The Cypher	Something Awful, D12, Leathal Wreckords, Top Prospect	Taking Lives	spotify:track:1Ydr2p97fhg073TprIM0pb
Still Psycho	D12, B-Real	Trouble Soon	spotify:track:1Vxc99TO68kagCIc4oYIwU
Kill For You	Skylar Grey, Eminem	Natural Causes	spotify:track:0rI56S1biB0efYypn7eNpP
Superman	Ivory Layne	Something's Gonna Happen	spotify:track:4U5nMZJoXr4jJzxOYoSHia
Thriller	Fall Out Boy	Live In Phoenix	spotify:track:79EH9bYjaTvmsE1H2TFIcL
Platinum And Wood	Big Sean	Dark Sky Paradise (Deluxe)	spotify:track:0fIdptEaBDh3FZii3PRwtt
Keep Me Warm (feat. Erin Bowman)	The Little Estate, Erin Bowman	Keep Me Warm (feat. Erin Bowman)	spotify:track:7HY6wU7ZMg1IFa81eSWJAn
Give Me a Reason (feat. Vince Staples)	Boldy James, Vince Staples	My First Chemistry Set	spotify:track:1rX4u5Fg3BHbs8z14uV9E7
"From Now On We Are Enemies"	Fall Out Boy	Believers Never Die - Greatest Hits	spotify:track:2hC4LPebn0xctVGsVPOwJX
Forbidden Voices	Martin Garrix	Forbidden Voices	spotify:track:2BF1X5nkYYSb0AUTRaGkDm
Romeo	Until The Ribbon Breaks	A Taste Of Silver	spotify:track:48tC6JwJvjvbEladDO1t4H
I Wan'na Be Like You (The Monkey Song) - From "The Jungle Book"	Fall Out Boy	We Love Disney	spotify:track:6zMNLIFrUss4qklFUdpzjp
Somebody That I Used to Know	Seth Avett, Jessica Lea Mayfield	Somebody That I Used to Know	spotify:track:1cnvv6E1MiOtGs5R5i4FJn
