Artist,Number of Songs,Rank
Felix Cartal,2,T570
Fergie,2,T570
Fetty Wap,2,T570
Fifth Harmony,2,T570
Fireboy DML,2,T570
Fitz and The Tantrums,2,T570
Fleurie,2,T570
Florence Welch,2,T570
Foals,2,T570
Foy Vance,2,T570
Funk Wav,2,T570
Futuristic,2,T570
Gabrielle Aplin,2,T570
Garrett Nash,2,T570
Gary Clark Jr.,2,T570
Gavin James,2,T570
Gavin Mikhail,2,T570
Gemstones,2,T570
Gente De Zona,2,T570
Giorgio Moroder,2,T570
Giveon,2,T570
Gotye,2,T570
Grace,2,T570
Grafh,2,T570
Graham Burris,2,T570
Grey,2,T570
Guster,2,T570
Gwen Stefani,2,T570
Gym Class Heroes,2,T570
Happy Belated,2,T570
Hardwell,2,T570
Hayley Williams,2,T570
Hippo Campus,2,T570
Houndmouth,2,T570
InfaRed,2,T570
Ingrid Michaelson,2,T570
Internet Money,2,T570
Isaac Slade,2,T570
JID,2,T570
Jacquie,2,T570
Jada Facer,2,T570
Jake Miller,2,T570
James Arthur,2,T570
James Blake,2,T570
James Vincent McMorrow,2,T570
Jamila Woods,2,T570
Jarryd James,2,T570
Jay Sean,2,T570
Jeremy Zucker,2,T570
Jess Chalker,2,T570
Jess Glynne,2,T570
Jessie Reyez,2,T570
Jessie Ware,2,T570
Jill Scott,2,T570
Jimmy Eat World,2,T570
Joe Fox,2,T570
Joi,2,T570
Joji,2,T570
Jon D,2,T570
Jonah Matranga,2,T570
Jordan Davis,2,T570
Jordin Sparks,2,T570
Josh Groban,2,T570
Josh Pyke,2,T570
Juanes,2,T570
Jukebox The Ghost,2,T570
Julia Brennan,2,T570
K.Flay,2,T570
KB,2,T570
Kate Miller-Heidke,2,T570
Katie Noonan,2,T570
Kelsea Ballerini,2,T570
Kenneth Whalum,2,T570
Keri Hilson,2,T570
Kevin Ross,2,T570
Keyshia Cole,2,T570
Kid Vishis,2,T570
Kiesza,2,T570
Kiiara,2,T570
Kilo Kish,2,T570
Kina Grannis,2,T570
LANY,2,T570
LOLO,2,T570
Laura Welsh,2,T570
Leroy Sanchez,2,T570
Lewis Capaldi,2,T570
Lido,2,T570
Lil Mosey,2,T570
Lil Tjay,2,T570
Lior,2,T570
Little Kruta,2,T570
Little Mix,2,T570
Logic?,2,T570
Lonely The Brave,2,T570
Lostboycrow,2,T570
Love Renaissance (LVRN),2,T570
Lucy Rose,2,T570
Lungz,2,T570
MGMT,2,T570
MNEK,2,T570
MOD SUN,2,T570
MUNA,2,T570
Madilyn Bailey,2,T570
Majid Jordan,2,T570
Marc Anthony,2,T570
Marc E. Bassy,2,T570
Marc Scibilia,2,T570
Marianas Trench,2,T570
Mark Battles,2,T570
Mark Morrison,2,T570
Martin Garrix,2,T570
Martin Jensen,2,T570
Marty,2,T570
Mary J. Blige,2,T570
Mason Ramsey,2,T570
Matt Berninger,2,T570
Meadowlark,2,T570
Mighty Oaks,2,T570
Missy Elliott,2,T570
Mistah F.A.B.,2,T570
Moneybagg Yo,2,T570
Moonchild,2,T570
Morgan Wallen,2,T570
Moss Kena,2,T570
Mr Hudson,2,T570
Mutemath,2,T570
N.E.R.D,2,T570
NERVO,2,T570
NOTD,2,T570
Nelly,2,T570
Neon Trees,2,T570
Nickelback,2,T570
Nicky Jam,2,T570
No Rome,2,T570
Noah Gundersen,2,T570
Noah Kahan,2,T570
Noname,2,T570
Normal Norman,2,T570
Normani,2,T570
O.A.R.,2,T570
OG Maco,2,T570
Oasis,2,T570
Ojivolta,2,T570
Olivia O'Brien,2,T570
Omen,2,T570
POP ETC,2,T570
Parachute,2,T570
Paradise,2,T570
Pierce The Veil,2,T570
Plain White T's,2,T570
Playboy Tre´,2,T570
PnB Rock,2,T570
Poo Bear,2,T570
Proof,2,T570
Purity Ring,2,T570
R. City,2,T570
R3HAB,2,T570
RM,2,T570
ROSALÍA,2,T570
Ransom,2,T570
Raphael Saadiq,2,T570
Remy Ma,2,T570
Rex Orange County,2,T570
Rexx Life Raj,2,T570
Rico Love,2,T570
Rita Ora,2,T570
Robyn Sherwell,2,T570
Ron Pope,2,T570
Royal Wood,2,T570
RØMANS,2,T570
S. Carey,2,T570
SG Lewis,2,T570
Sage The Gemini,2,T570
Saint Raymond,2,T570
Salim,2,T570
Sam Dew,2,T570
Sampha,2,T570
Sara Kays,2,T570
Sasha Alex Sloan,2,T570
Simon Sayz,2,T570
Sir Sly,2,T570
Sleeping Wolf,2,T570
Smoke DZA,2,T570
Snoh Aalegra,2,T570
Stars of Track and Field,2,T570
Stefflon Don,2,T570
Striking Matches,2,T570
Sufjan Stevens,2,T570
Sugarland,2,T570
Sultan + Shepard,2,T570
Summer of '96,2,T570
Sway,2,T570
TWENTY88,2,T570
Taio Cruz,2,T570
Talib Kweli,2,T570
Teyana Taylor,2,T570
The Chamber Orchestra Of London,2,T570
The Decemberists,2,T570
The Downtown Fiction,2,T570
The Japanese House,2,T570
The Maine,2,T570
The Mind,2,T570
The Presets,2,T570
Thomas Jack,2,T570
Thomas Rhett,2,T570
Thundercat,2,T570
Tim McGraw,2,T570
Tinashe,2,T570
Tinie Tempah,2,T570
Tom Morello,2,T570
Travis Mendes,2,T570
Tritonal,2,T570
Troi Irons Irons,2,T570
Twista,2,T570
Us The Duo,2,T570
Valise,2,T570
Vampire Weekend,2,T570
Vice,2,T570
Victoria Monét,2,T570
Waterparks,2,T570
We The Kings,2,T570
Westside Gunn,2,T570
White Gold,2,T570
Will Champlin,2,T570
Willy William,2,T570
Witt Lowry,2,T570
Wrabel,2,T570
Xzibit,2,T570
Yiruma,2,T570
YouNotUs,2,T570
Young Bombs,2,T570
Young M.A,2,T570
Zacari,2,T570
Zaytoven,2,T570
Zendaya,2,T570
Zoë Johnston,2,T570
dodie,2,T570
for KING & COUNTRY,2,T570
iann dior,2,T570
lil aaron,2,T570
mike.,2,T570
$VN,1,T897
*NSYNC,1,T897
070 Shake,1,T897
1990nowhere,1,T897
888,1,T897
88rising,1,T897
93PUNX,1,T897
99 Percent,1,T897
A$AP ANT,1,T897
A$AP NAST,1,T897
AM Static,1,T897
ARCHIS,1,T897
ARMNHMR,1,T897
ATC,1,T897
ATO,1,T897
AUGUST 08,1,T897
AURORA,1,T897
Aaron Krause,1,T897
Aaron Richards,1,T897
Aaron Sprinkle,1,T897
Aaron West and The Roaring Twenties,1,T897
Aaryan Shah,1,T897
Ab-Liva,1,T897
